response_id,participant_id,response_kind,order,puzzle_id,final_difficulty,immediate_difficulty,skill_nonogram,codeable,n_codes,codes_str,code_FOOT,code_CLUE,code_PROP,code_AMBIG,code_GUESS,code_HINT,code_ERR,code_LEARN,code_LOAD,code_VIS,code_TIME,code_UI,code_AFF
R0062,P021,rating_reason,3.0,2.0,,,1.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0063,P022,rating_reason,1.0,2.0,2.0,3.0,6.0,True,2,CLUE|FOOT,1,1,0,0,0,0,0,0,0,0,0,0,0
R0064,P022,rating_reason,2.0,4.0,4.0,4.0,6.0,True,1,FOOT,1,0,0,0,0,0,0,0,0,0,0,0,0
R0065,P022,rating_reason,3.0,5.0,3.0,3.0,6.0,True,1,FOOT,1,0,0,0,0,0,0,0,0,0,0,0,0
R0066,P023,rating_reason,1.0,3.0,4.0,4.0,1.0,True,1,HINT,0,0,0,0,0,1,0,0,0,0,0,0,0
R0067,P023,rating_reason,2.0,1.0,3.0,3.0,1.0,True,1,HINT,0,0,0,0,0,1,0,0,0,0,0,0,0
R0068,P023,rating_reason,3.0,4.0,5.0,5.0,1.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0069,P024,rating_reason,1.0,3.0,3.0,5.0,1.0,True,3,CLUE|FOOT|LEARN,1,1,0,0,0,0,0,1,0,0,0,0,0
R0070,P024,rating_reason,2.0,1.0,3.0,3.0,1.0,True,3,CLUE|FOOT|LEARN,1,1,0,0,0,0,0,1,0,0,0,0,0
R0071,P024,rating_reason,3.0,4.0,5.0,5.0,1.0,True,3,CLUE|VIS|FOOT,1,1,0,0,0,0,0,0,0,1,0,0,0
R0072,P025,rating_reason,1.0,5.0,2.0,3.0,8.0,True,2,CLUE|FOOT,1,1,0,0,0,0,0,0,0,0,0,0,0
R0073,P025,rating_reason,2.0,4.0,3.0,3.0,8.0,True,3,CLUE|FOOT|PROP,1,1,1,0,0,0,0,0,0,0,0,0,0
R0074,P025,rating_reason,3.0,2.0,3.0,2.0,8.0,True,3,CLUE|FOOT|PROP,1,1,1,0,0,0,0,0,0,0,0,0,0
R0075,P026,rating_reason,1.0,0.0,4.0,4.0,1.0,True,3,FOOT|GUESS|HINT,1,0,0,0,1,1,0,0,0,0,0,0,0
R0076,P026,rating_reason,2.0,3.0,5.0,5.0,1.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0077,P026,rating_reason,3.0,1.0,4.0,4.0,1.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0078,P027,rating_reason,1.0,1.0,4.0,4.0,6.0,True,2,GUESS|AMBIG,0,0,0,1,1,0,0,0,0,0,0,0,0
R0079,P027,rating_reason,2.0,5.0,2.0,2.0,6.0,True,1,LEARN,0,0,0,0,0,0,0,1,0,0,0,0,0
R0080,P027,rating_reason,3.0,4.0,1.0,1.0,6.0,True,2,LEARN|AMBIG,0,0,0,1,0,0,0,1,0,0,0,0,0
R0081,P028,rating_reason,1.0,4.0,3.0,3.0,1.0,True,1,LEARN,0,0,0,0,0,0,0,1,0,0,0,0,0
R0082,P028,rating_reason,2.0,5.0,-1.0,-1.0,1.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0083,P028,rating_reason,3.0,1.0,-1.0,-1.0,1.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0084,P029,rating_reason,1.0,4.0,4.0,4.0,8.0,True,1,LEARN,0,0,0,0,0,0,0,1,0,0,0,0,0
R0085,P029,rating_reason,2.0,5.0,2.0,2.0,8.0,True,1,PROP,0,0,1,0,0,0,0,0,0,0,0,0,0
R0086,P029,rating_reason,3.0,1.0,3.0,3.0,8.0,True,1,ERR,0,0,0,0,0,0,1,0,0,0,0,0,0
R0087,P030,rating_reason,1.0,2.0,4.0,4.0,3.0,True,1,LEARN,0,0,0,0,0,0,0,1,0,0,0,0,0
R0088,P030,rating_reason,2.0,3.0,5.0,4.0,3.0,True,1,GUESS,0,0,0,0,1,0,0,0,0,0,0,0,0
R0089,P030,rating_reason,3.0,0.0,2.0,2.0,3.0,True,2,CLUE|FOOT,1,1,0,0,0,0,0,0,0,0,0,0,0
R0090,P031,rating_reason,1.0,0.0,5.0,5.0,1.0,True,1,LEARN,0,0,0,0,0,0,0,1,0,0,0,0,0
R0091,P031,rating_reason,2.0,5.0,-1.0,-1.0,1.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0092,P031,rating_reason,3.0,1.0,-1.0,-1.0,1.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0093,P032,rating_reason,1.0,0.0,2.0,3.0,5.0,True,2,FOOT|PROP,1,0,1,0,0,0,0,0,0,0,0,0,0
R0094,P032,rating_reason,2.0,1.0,3.0,4.0,5.0,True,1,AMBIG,0,0,0,1,0,0,0,0,0,0,0,0,0
R0095,P032,rating_reason,3.0,5.0,4.0,4.0,5.0,True,2,HINT|ERR,0,0,0,0,0,1,1,0,0,0,0,0,0
R0096,P033,rating_reason,1.0,1.0,4.0,3.0,2.0,True,2,LEARN|AFF,0,0,0,0,0,0,0,1,0,0,0,0,1
R0097,P033,rating_reason,2.0,5.0,3.0,2.0,2.0,True,2,LEARN|FOOT,1,0,0,0,0,0,0,1,0,0,0,0,0
R0098,P033,rating_reason,3.0,2.0,2.0,2.0,2.0,True,3,LEARN|FOOT|VIS,1,0,0,0,0,0,0,1,0,1,0,0,0
R0099,P034,rating_reason,1.0,2.0,2.0,2.0,7.0,True,1,AFF,0,0,0,0,0,0,0,0,0,0,0,0,1
R0100,P034,rating_reason,2.0,0.0,4.0,4.0,7.0,True,1,AFF,0,0,0,0,0,0,0,0,0,0,0,0,1
R0101,P034,rating_reason,3.0,5.0,2.0,2.0,7.0,True,1,HINT,0,0,0,0,0,1,0,0,0,0,0,0,0
R0102,P035,rating_reason,1.0,3.0,3.0,4.0,5.0,True,2,CLUE|FOOT,1,1,0,0,0,0,0,0,0,0,0,0,0
R0103,P035,rating_reason,2.0,0.0,4.0,4.0,5.0,True,1,CLUE,0,1,0,0,0,0,0,0,0,0,0,0,0
R0104,P035,rating_reason,3.0,4.0,4.0,3.0,5.0,True,1,CLUE,0,1,0,0,0,0,0,0,0,0,0,0,0
R0105,P036,rating_reason,1.0,4.0,3.0,4.0,7.0,True,1,HINT,0,0,0,0,0,1,0,0,0,0,0,0,0
R0106,P036,rating_reason,2.0,5.0,4.0,4.0,7.0,True,1,HINT,0,0,0,0,0,1,0,0,0,0,0,0,0
R0107,P036,rating_reason,3.0,3.0,4.0,4.0,7.0,True,1,HINT,0,0,0,0,0,1,0,0,0,0,0,0,0
R0108,P037,rating_reason,1.0,5.0,4.0,4.0,9.0,True,2,FOOT|CLUE,1,1,0,0,0,0,0,0,0,0,0,0,0
R0109,P037,rating_reason,2.0,1.0,3.0,3.0,9.0,True,2,FOOT|LEARN,1,0,0,0,0,0,0,1,0,0,0,0,0
R0110,P037,rating_reason,3.0,3.0,4.0,4.0,9.0,True,2,FOOT|LEARN,1,0,0,0,0,0,0,1,0,0,0,0,0
R0111,P038,rating_reason,1.0,0.0,3.0,3.0,3.0,True,3,FOOT|AMBIG|PROP,1,0,1,1,0,0,0,0,0,0,0,0,0
R0112,P038,rating_reason,2.0,1.0,4.0,3.0,3.0,True,3,FOOT|AMBIG|CLUE,1,1,0,1,0,0,0,0,0,0,0,0,0
R0113,P038,rating_reason,3.0,2.0,2.0,2.0,3.0,True,3,FOOT|VIS|PROP,1,0,1,0,0,0,0,0,0,1,0,0,0
R0114,P039,rating_reason,1.0,2.0,2.0,3.0,3.0,True,1,PROP,0,0,1,0,0,0,0,0,0,0,0,0,0
R0115,P039,rating_reason,2.0,3.0,4.0,4.0,3.0,True,3,ERR|AMBIG|HINT,0,0,0,1,0,1,1,0,0,0,0,0,0
R0116,P039,rating_reason,3.0,5.0,3.0,3.0,3.0,True,2,PROP|LEARN,0,0,1,0,0,0,0,1,0,0,0,0,0
R0117,P040,rating_reason,1.0,4.0,1.0,1.0,3.0,True,1,LEARN,0,0,0,0,0,0,0,1,0,0,0,0,0
R0118,P040,rating_reason,2.0,1.0,3.0,3.0,3.0,True,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0119,P040,rating_reason,3.0,2.0,2.0,2.0,3.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0120,P041,rating_reason,1.0,4.0,3.0,3.0,9.0,True,2,CLUE|FOOT,1,1,0,0,0,0,0,0,0,0,0,0,0
R0121,P041,rating_reason,2.0,1.0,4.0,4.0,9.0,True,2,CLUE|FOOT,1,1,0,0,0,0,0,0,0,0,0,0,0
R0122,P041,rating_reason,3.0,2.0,2.0,2.0,9.0,True,3,VIS|FOOT|PROP,1,0,1,0,0,0,0,0,0,1,0,0,0
R0123,P042,rating_reason,1.0,1.0,4.0,4.0,2.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0124,P042,rating_reason,2.0,5.0,4.0,4.0,2.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0125,P042,rating_reason,3.0,4.0,5.0,5.0,2.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0126,P043,rating_reason,1.0,1.0,2.0,3.0,5.0,True,2,FOOT|PROP,1,0,1,0,0,0,0,0,0,0,0,0,0
R0127,P043,rating_reason,2.0,5.0,3.0,3.0,5.0,True,1,GUESS,0,0,0,0,1,0,0,0,0,0,0,0,0
R0128,P043,rating_reason,3.0,4.0,4.0,4.0,5.0,True,1,GUESS,0,0,0,0,1,0,0,0,0,0,0,0,0
R0129,P044,rating_reason,1.0,2.0,3.0,3.0,3.0,True,1,HINT,0,0,0,0,0,1,0,0,0,0,0,0,0
R0130,P044,rating_reason,2.0,5.0,4.0,4.0,3.0,True,1,HINT,0,0,0,0,0,1,0,0,0,0,0,0,0
R0131,P044,rating_reason,3.0,3.0,5.0,5.0,3.0,True,1,HINT,0,0,0,0,0,1,0,0,0,0,0,0,0
R0132,P045,rating_reason,1.0,3.0,5.0,4.0,4.0,True,2,GUESS|FOOT,1,0,0,0,1,0,0,0,0,0,0,0,0
R0133,P045,rating_reason,2.0,1.0,4.0,4.0,4.0,True,1,FOOT,1,0,0,0,0,0,0,0,0,0,0,0,0
R0134,P045,rating_reason,3.0,5.0,5.0,5.0,4.0,True,2,GUESS|AMBIG,0,0,0,1,1,0,0,0,0,0,0,0,0
R0135,P046,rating_reason,1.0,5.0,4.0,4.0,5.0,True,2,FOOT|PROP,1,0,1,0,0,0,0,0,0,0,0,0,0
R0136,P046,rating_reason,2.0,2.0,3.0,3.0,5.0,True,2,FOOT|PROP,1,0,1,0,0,0,0,0,0,0,0,0,0
R0137,P046,rating_reason,3.0,3.0,4.0,4.0,5.0,True,2,FOOT|VIS,1,0,0,0,0,0,0,0,0,1,0,0,0
R0138,P047,rating_reason,1.0,1.0,4.0,4.0,4.0,True,2,VIS|FOOT,1,0,0,0,0,0,0,0,0,1,0,0,0
R0139,P047,rating_reason,2.0,4.0,5.0,5.0,4.0,True,1,ERR,0,0,0,0,0,0,1,0,0,0,0,0,0
R0140,P047,rating_reason,3.0,2.0,3.0,3.0,4.0,True,1,LEARN,0,0,0,0,0,0,0,1,0,0,0,0,0
R0141,P048,rating_reason,1.0,2.0,3.0,3.0,5.0,True,2,FOOT|PROP,1,0,1,0,0,0,0,0,0,0,0,0,0
R0142,P048,rating_reason,2.0,3.0,5.0,5.0,5.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0143,P048,rating_reason,3.0,0.0,4.0,4.0,5.0,True,2,FOOT|GUESS,1,0,0,0,1,0,0,0,0,0,0,0,0
R0144,P049,rating_reason,1.0,3.0,5.0,5.0,2.0,True,1,FOOT,1,0,0,0,0,0,0,0,0,0,0,0,0
R0145,P049,rating_reason,2.0,2.0,2.0,2.0,2.0,True,2,FOOT|LEARN,1,0,0,0,0,0,0,1,0,0,0,0,0
R0146,P049,rating_reason,3.0,1.0,2.0,2.0,2.0,True,1,FOOT,1,0,0,0,0,0,0,0,0,0,0,0,0
R0147,P050,rating_reason,1.0,4.0,4.0,1.0,6.0,True,1,CLUE,0,1,0,0,0,0,0,0,0,0,0,0,0
R0148,P050,rating_reason,2.0,1.0,3.0,1.0,6.0,True,1,LEARN,0,0,0,0,0,0,0,1,0,0,0,0,0
R0149,P050,rating_reason,3.0,5.0,3.0,1.0,6.0,True,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0150,P051,rating_reason,1.0,0.0,4.0,4.0,1.0,True,1,FOOT,1,0,0,0,0,0,0,0,0,0,0,0,0
R0151,P051,rating_reason,2.0,5.0,4.0,4.0,1.0,True,1,FOOT,1,0,0,0,0,0,0,0,0,0,0,0,0
R0152,P051,rating_reason,3.0,1.0,4.0,4.0,1.0,True,1,FOOT,1,0,0,0,0,0,0,0,0,0,0,0,0
R0153,P052,rating_reason,1.0,5.0,3.0,3.0,1.0,True,1,CLUE,0,1,0,0,0,0,0,0,0,0,0,0,0
R0154,P052,rating_reason,2.0,3.0,4.0,4.0,1.0,True,1,CLUE,0,1,0,0,0,0,0,0,0,0,0,0,0
R0155,P052,rating_reason,3.0,4.0,4.0,4.0,1.0,True,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0156,P053,rating_reason,1.0,3.0,3.0,3.0,8.0,True,1,FOOT,1,0,0,0,0,0,0,0,0,0,0,0,0
R0157,P053,rating_reason,2.0,4.0,2.0,2.0,8.0,True,2,FOOT|PROP,1,0,1,0,0,0,0,0,0,0,0,0,0
R0158,P053,rating_reason,3.0,1.0,3.0,3.0,8.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0159,P054,rating_reason,1.0,3.0,4.0,4.0,1.0,True,2,GUESS|LEARN,0,0,0,0,1,0,0,1,0,0,0,0,0
R0160,P054,rating_reason,2.0,4.0,4.0,4.0,1.0,True,3,FOOT|GUESS|TIME,1,0,0,0,1,0,0,0,0,0,1,0,0
R0161,P054,rating_reason,3.0,1.0,4.0,4.0,1.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0162,P055,rating_reason,1.0,3.0,4.0,4.0,8.0,True,1,LEARN,0,0,0,0,0,0,0,1,0,0,0,0,0
R0163,P055,rating_reason,2.0,4.0,3.0,3.0,8.0,True,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0164,P055,rating_reason,3.0,1.0,3.0,3.0,8.0,True,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0165,P056,rating_reason,1.0,4.0,4.0,4.0,1.0,True,1,LEARN,0,0,0,0,0,0,0,1,0,0,0,0,0
R0166,P056,rating_reason,2.0,5.0,3.0,4.0,1.0,True,1,LEARN,0,0,0,0,0,0,0,1,0,0,0,0,0
R0167,P056,rating_reason,3.0,0.0,4.0,3.0,1.0,True,2,FOOT|CLUE,1,1,0,0,0,0,0,0,0,0,0,0,0
R0168,P057,rating_reason,1.0,5.0,4.0,4.0,6.0,True,1,FOOT,1,0,0,0,0,0,0,0,0,0,0,0,0
R0169,P057,rating_reason,2.0,4.0,5.0,5.0,6.0,True,1,FOOT,1,0,0,0,0,0,0,0,0,0,0,0,0
R0170,P057,rating_reason,3.0,0.0,5.0,5.0,6.0,True,2,FOOT|LOAD,1,0,0,0,0,0,0,0,1,0,0,0,0
R0171,P058,rating_reason,1.0,0.0,4.0,4.0,4.0,True,3,FOOT|AMBIG|LOAD,1,0,0,1,0,0,0,0,1,0,0,0,0
R0172,P058,rating_reason,2.0,3.0,4.0,4.0,4.0,True,2,GUESS|FOOT,1,0,0,0,1,0,0,0,0,0,0,0,0
R0173,P058,rating_reason,3.0,5.0,5.0,5.0,4.0,True,3,ERR|HINT|GUESS,0,0,0,0,1,1,1,0,0,0,0,0,0
R0174,P059,rating_reason,1.0,1.0,4.0,4.0,8.0,True,1,PROP,0,0,1,0,0,0,0,0,0,0,0,0,0
R0175,P059,rating_reason,2.0,3.0,4.0,4.0,8.0,True,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0176,P059,rating_reason,3.0,2.0,4.0,4.0,8.0,True,2,AMBIG|PROP,0,0,1,1,0,0,0,0,0,0,0,0,0
R0177,P060,rating_reason,1.0,2.0,3.0,3.0,1.0,True,1,HINT,0,0,0,0,0,1,0,0,0,0,0,0,0
R0178,P060,rating_reason,2.0,1.0,4.0,4.0,1.0,True,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0179,P060,rating_reason,3.0,5.0,4.0,5.0,1.0,True,1,LEARN,0,0,0,0,0,0,0,1,0,0,0,0,0
R0180,P061,rating_reason,1.0,3.0,4.0,4.0,7.0,True,3,LEARN|AMBIG|FOOT,1,0,0,1,0,0,0,1,0,0,0,0,0
R0181,P061,rating_reason,2.0,0.0,4.0,4.0,7.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0182,P061,rating_reason,3.0,5.0,-1.0,-1.0,7.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0183,P062,rating_reason,1.0,3.0,4.0,4.0,5.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0184,P062,rating_reason,2.0,0.0,4.0,3.0,5.0,True,1,FOOT,1,0,0,0,0,0,0,0,0,0,0,0,0
R0185,P062,rating_reason,3.0,5.0,4.0,4.0,5.0,True,3,FOOT|AMBIG|CLUE,1,1,0,1,0,0,0,0,0,0,0,0,0
R0186,P063,rating_reason,1.0,3.0,5.0,5.0,2.0,True,2,LEARN|FOOT,1,0,0,0,0,0,0,1,0,0,0,0,0
R0187,P063,rating_reason,2.0,0.0,4.0,4.0,2.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0188,P063,rating_reason,3.0,5.0,-1.0,-1.0,2.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0189,P064,rating_reason,1.0,3.0,4.0,4.0,3.0,True,3,LEARN|ERR|FOOT,1,0,0,0,0,0,1,1,0,0,0,0,0
R0190,P064,rating_reason,2.0,0.0,2.0,2.0,3.0,True,2,LEARN|FOOT,1,0,0,0,0,0,0,1,0,0,0,0,0
R0191,P064,rating_reason,3.0,5.0,-1.0,-1.0,3.0,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
R0192,P065,rating_reason,1.0,3.0,4.0,4.0,7.0,True,2,CLUE|FOOT,1,1,0,0,0,0,0,0,0,0,0,0,0
R0193,P065,rating_reason,2.0,0.0,4.0,4.0,7.0,True,2,AMBIG|FOOT,1,0,0,1,0,0,0,0,0,0,0,0,0
R0194,P065,rating_reason,3.0,5.0,3.0,3.0,7.0,True,2,LEARN|PROP,0,0,1,0,0,0,0,1,0,0,0,0,0
